time,weatherType,humEnum,hum,tempEnum,temp,intensity,windInstance,windTracked
209.9923,Overcast,HumidityMid,0.3354729,TemperatureMid,0.6105561,0.4521722,(-2.6, -9.7),(-180.9, -3556.0)
214.9843,Hail,HumidityMid,0.3910094,TemperatureLow,0.3307746,0.3115695,(-0.2, -10.0),(-353.3, -4871.0)
219.992,Hail,HumidityMid,0.3910094,TemperatureLow,0.3307746,0.3115695,(-0.2, -10.0),(-353.3, -4871.0)
224.9821,Hail,HumidityMid,0.3958802,TemperatureLow,0.327443,0.3170505,(-0.2, -10.0),(-353.8, -4901.0)
229.9956,Overcast,HumidityMid,0.6433854,TemperatureMid,0.350241,0.5599538,(-9.9, 1.7),(-795.0, -5850.2)
234.9888,Overcast,HumidityMid,0.6433854,TemperatureMid,0.350241,0.5599538,(-9.9, 1.7),(-795.0, -5850.2)
239.9966,Overcast,HumidityMid,0.483448,TemperatureMid,0.4802507,0.6699554,(-8.6, 5.1),(-1728.8, -5425.8)
244.9875,Rain,HumidityMid,0.6552567,TemperatureHigh,0.6683924,0.1556634,(-8.3, 5.6),(-3331.4, -4369.1)
249.9907,Rain,HumidityMid,0.6552567,TemperatureHigh,0.6683924,0.1556634,(-8.3, 5.6),(-3331.4, -4369.1)
254.9816,Rain,HumidityMid,0.5089763,TemperatureHigh,0.6762691,0.4379582,(-6.5, 7.6),(-4201.0, -3734.1)
259.9841,Overcast,HumidityMid,0.565156,TemperatureMid,0.6593256,0.6058353,(9.7, 2.5),(-3400.0, -3244.3)
264.9906,Overcast,HumidityMid,0.565156,TemperatureMid,0.6593256,0.6058353,(9.7, 2.5),(-3400.0, -3244.3)
269.9819,Overcast,HumidityMid,0.5380151,TemperatureMid,0.4682817,0.7996456,(-2.3, 9.7),(-2495.6, -1840.0)
274.9848,Rain,HumidityMid,0.5179326,TemperatureHigh,0.6731495,0.3418937,(-5.2, 8.5),(-3130.8, -531.2)
279.9931,Rain,HumidityMid,0.5179326,TemperatureHigh,0.6731495,0.3418937,(-5.2, 8.5),(-3130.8, -531.2)
284.9846,Overcast,HumidityMid,0.50934,TemperatureMid,0.6637947,0.3348443,(-5.2, 8.5),(-3141.2, -514.2)
289.9877,Overcast,HumidityMid,0.50934,TemperatureMid,0.6637947,0.3348443,(-5.2, 8.5),(-3141.2, -514.2)
294.9948,Rain,HumidityMid,0.5217198,TemperatureHigh,0.6744279,0.3452336,(-5.2, 8.5),(-3151.7, -497.1)
299.9872,Rain,HumidityMid,0.5217198,TemperatureHigh,0.6744279,0.3452336,(-5.2, 8.5),(-3151.7, -497.1)
304.9904,Overcast,HumidityMid,0.664904,TemperatureMid,0.6627721,0.597066,(-6.1, 7.9),(-3475.2, -28.6)
309.9887,Overcast,HumidityMid,0.664904,TemperatureMid,0.6627721,0.597066,(-6.1, 7.9),(-3475.2, -28.6)
314.9919,Rain,HumidityHigh,0.673776,TemperatureMid,0.6574235,0.6222839,(-6.5, 7.6),(-3502.0, 1.0)
319.9896,Rain,HumidityHigh,0.673776,TemperatureMid,0.6574235,0.6222839,(-6.5, 7.6),(-3502.0, 1.0)
324.9957,Storm,HumidityHigh,0.6911001,TemperatureHigh,0.6668114,0.7668546,(-7.1, -7.1),(-3798.9, 154.0)
329.9823,Storm,HumidityHigh,0.6911001,TemperatureHigh,0.6668114,0.7668546,(-7.1, -7.1),(-3798.9, 154.0)
334.9917,Rain,HumidityMid,0.661929,TemperatureHigh,0.6905824,0.728694,(-7.1, -7.1),(-3848.4, 104.5)
